cluster_key;ticker;filing_day;filedAt;in_backtest;in_strategies;strategies;company;insiders;n_buys;pct_increase_position_max;qty_tot;titles;value_tot
OPK|2024-02-28;OPK;2024-02-28;2024-02-28T17:31:35-05:00;False;False;;OPKO HEALTH, INC.;FROST PHILLIP MD ET AL;1;0.24;500000.0;CEO & Chairman;496150.0
TCBI|2024-02-28;TCBI;2024-02-28;2024-02-28T17:24:39-05:00;False;False;;TEXAS CAPITAL BANCSHARES INC/TX;Long Thomas E;1;36.09;2000.0;Director;117560.0
MRCY|2024-02-28;MRCY;2024-02-28;2024-02-28T17:19:56-05:00;False;False;;MERCURY SYSTEMS INC;JANA Partners Management, LP;1;4.33;377913.0;Director;11057678.49
IMUX|2024-02-28;IMUX;2024-02-28;2024-02-28T17:19:55-05:00;False;False;;IMMUNIC, INC.;Vitt Daniel;1;3.71;14000.0;President and CEO;18333.0
ZION|2024-02-28;ZION;2024-02-28;2024-02-28T17:18:13-05:00;False;False;;ZIONS BANCORPORATION, NATIONAL ASSOCIATION /UT/;SIMMONS HARRIS H;1;0.31;4000.0;Chairman & CEO;154160.0
TLYS|2024-02-28;TLYS;2024-02-28;2024-02-28T17:16:32-05:00;False;False;;TILLY'S, INC.;Fund 1 Investments, LLC;1;0.49;42000.0;10% Owner;317269.5
FRTX|2024-02-28;FRTX;2024-02-28;2024-02-28T17:14:16-05:00;False;False;;Fresh Tracks Therapeutics, Inc.;Exploration Capital, LLC;1;2.17;20109.0;10% Owner;18098.100000000002
PTWO|2024-02-28;PTWO;2024-02-28;2024-02-28T17:04:14-05:00;False;False;;Pono Capital Two, Inc.;ZUU Co. Ltd.;1;0.26;3826.0;10% Owner;45961.4
MGPI|2024-02-28;MGPI;2024-02-28;2024-02-28T16:59:19-05:00;False;False;;MGP INGREDIENTS INC;Lapish Erika;1;1000.0;500.0;Vice President & CHRO;38930.0
HTLF|2024-02-28;HTLF;2024-02-28;2024-02-28T16:58:42-05:00;False;False;;HEARTLAND FINANCIAL USA INC;Kahn Robert S;1;;1000.0;EVP, Chief Strategy Officer;33029.899999999994
ONDS|2024-02-28;ONDS;2024-02-28;2024-02-28T16:49:23-05:00;False;False;;Ondas Holdings Inc.;Popolo Joseph V;1;127.78;1785714.0;10% Owner;1999999.6800000002
OPCH|2024-02-28;OPCH;2024-02-28;2024-02-28T16:41:59-05:00;False;False;;Option Care Health, Inc.;KRAEMER HARRY M JANSEN JR;1;14.92;35000.0;Director;1104351.5
CHCO|2024-02-28;CHCO;2024-02-28;2024-02-28T16:39:06-05:00;False;False;;CITY HOLDING CO;FISHER ROBERT D | HYLTON TRACY W II;2;0.31;252.0;Director;25460.5176
FNB|2024-02-28;FNB;2024-02-28;2024-02-28T16:28:12-05:00;False;False;;FNB CORP/PA/;CAMPBELL WILLIAM B;1;1.03;1500.0;Director;20273.55
PCB|2024-02-28;PCB;2024-02-28;2024-02-28T16:20:12-05:00;False;False;;PCB BANCORP;LEE SANG YOUNG;1;0.14;6715.0;Director;106429.65
AMH|2024-02-28;AMH;2024-02-28;2024-02-28T16:20:04-05:00;False;False;;American Homes 4 Rent;CORRIGAN JACK E;1;100.0;8000.0;Director;192185.0
MATV|2024-02-28;MATV;2024-02-28;2024-02-28T16:16:08-05:00;False;False;;Mativ Holdings, Inc.;Keenan Jeffrey;1;0.97;4000.0;Director;65179.99999999999
RCEL|2024-02-28;RCEL;2024-02-28;2024-02-28T16:04:52-05:00;False;False;;AVITA Medical, Inc.;O'Toole David D;1;5.72;1250.0;CFO;21737.5
WES|2024-02-28;WES;2024-02-28;2024-02-28T16:03:16-05:00;False;False;;Western Midstream Partners, LP;Brown Oscar K;1;12.59;7000.0;Director;236217.8
STRT|2024-02-28;STRT;2024-02-28;2024-02-28T16:02:30-05:00;False;False;;STRATTEC SECURITY CORP;LIEBAU FREDERIC JACK JR;1;;2000.0;Director;49880.0
AAOI|2024-02-28;AAOI;2024-02-28;2024-02-28T16:02:11-05:00;False;False;;APPLIED OPTOELECTRONICS, INC.;Yeh William H;1;5.28;10000.0;Director;152900.0
LILA|2024-02-28;LILA;2024-02-28;2024-02-28T16:02:00-05:00;False;False;;Liberty Latin America Ltd.;Nair Balan;1;2.15;16313.0;President and CEO;100083.5176
FCCO|2024-02-28;FCCO;2024-02-28;2024-02-28T15:31:56-05:00;False;False;;FIRST COMMUNITY CORP /SC/;Sosebee Jane S;1;47.25;2500.0;Director;41000.0
RVP|2024-02-28;RVP;2024-02-28;2024-02-28T15:07:01-05:00;False;False;;RETRACTABLE TECHNOLOGIES INC;SHAW THOMAS J;1;0.09;13396.0;PRESIDENT AND CEO;16714.1892
WSBC|2024-02-28;WSBC;2024-02-28;2024-02-28T15:01:20-05:00;False;False;;WESBANCO INC;STEMLER KERRY M;1;4.21;1396.0;Director;40004.12300000001
CFFN|2024-02-28;CFFN;2024-02-28;2024-02-28T14:55:20-05:00;False;False;;Capitol Federal Financial, Inc.;HUEY MORRIS J II;1;1.88;5000.0;Director;28499.500000000004
TPL|2024-02-28;TPL;2024-02-28;2024-02-28T13:43:28-05:00;False;False;;Texas Pacific Land Corp;STAHL MURRAY;1;0.12;12.0;Director;19045.199999999997
MPB|2024-02-28;MPB;2024-02-28;2024-02-28T13:32:09-05:00;False;False;;MID PENN BANCORP INC;De Soto Matthew G;1;1.75;1192.0;Director;24936.8784
MRBK|2024-02-28;MRBK;2024-02-28;2024-02-28T12:12:51-05:00;False;False;;Meridian Corp;Lindsay Denise;1;2.56;2000.0;EVP, Chief Financial Officer;19320.0
FRME|2024-02-28;FRME;2024-02-28;2024-02-28T11:54:55-05:00;False;False;;FIRST MERCHANTS CORP;KELLOGG CLARK C;1;;1000.0;Director;24720.0
LCNB|2024-02-28;LCNB;2024-02-28;2024-02-28T11:48:09-05:00;False;False;;LCNB CORP;KAUFMAN WILLIAM H;1;2.85;1000.0;Director;14280.0
RZLT|2024-02-28;RZLT;2024-02-28;2024-02-28T11:40:17-05:00;False;False;;Rezolute, Inc.;Elam Nevan C;1;177.49;5000.0;CEO;8400.0
USCB|2024-02-28;USCB;2024-02-28;2024-02-28T11:34:03-05:00;False;False;;USCB FINANCIAL HOLDINGS, INC.;Feinglass Howard;1;0.22;10000.0;Director;110692.0
CARV|2024-02-28;CARV;2024-02-28;2024-02-28T10:53:46-05:00;False;False;;CARVER BANCORP INC;MacKay Craig C;1;25.0;1000.0;Director;1670.0
ASRV|2024-02-28;ASRV;2024-02-28;2024-02-28T10:34:23-05:00;False;False;;AMERISERV FINANCIAL INC /PA/;STOPKO JEFFREY A;1;1.51;2000.0;President & CEO ASRV & Bank;5480.0
FMBM|2024-02-28;FMBM;2024-02-28;2024-02-28T08:58:38-05:00;False;False;;F&M BANK CORP;Willingham John A.;1;3.06;445.0;Director;8010.0
KAR|2024-02-28;KAR;2024-02-28;2024-02-28T08:55:20-05:00;False;False;;OPENLANE, Inc.;Kelly Peter J;1;7.42;34000.0;Chief Executive Officer;508220.0
SHYF|2024-02-28;SHYF;2024-02-28;2024-02-28T08:34:57-05:00;False;False;;SHYFT GROUP, INC.;Dunn John Albert;1;14.5;4545.0;President and CEO;49995.0
VOCO|2024-02-27;VOCO;2024-02-27;2024-02-27T21:58:24-05:00;False;False;;Vocodia Holdings Corp;Silverman Scott J;1;5.79;2352.0;Chief Financial Officer;9408.0
AMN|2024-02-27;AMN;2024-02-27;2024-02-27T21:02:29-05:00;False;False;;AMN HEALTHCARE SERVICES INC;Grace Caroline;1;102.47;17500.0;Chief Executive Officer;991905.6100000001
CMI|2024-02-27;CMI;2024-02-27;2024-02-27T21:02:16-05:00;False;False;;CUMMINS INC;Fisher Daniel William;1;111.09;562.0;Director;149810.1482
CNX|2024-02-27;CNX;2024-02-27;2024-02-27T19:27:06-05:00;False;False;;CNX Resources Corp;Bedard Timothy Scott;2;;2452.0;EVP and General Counsel;50266.0
RVSB|2024-02-27;RVSB;2024-02-27;2024-02-27T20:07:09-05:00;False;False;;RIVERVIEW BANCORP INC;NIES GERALD LEE;1;13.04;22000.0;Director;106590.0
CART|2024-02-27;CART;2024-02-27;2024-02-27T19:55:19-05:00;False;False;;Maplebear Inc.;Gupta Ravi | SC US (TTGP), LTD.;4;6.71;549888.0;10% Owner | Director;16460720.678400002
PFX|2024-02-27;PFX;2024-02-27;2024-02-27T19:17:08-05:00;False;False;;PhenixFIN Corp;Lorber David A;1;1.64;2788.0;CHAIRMAN AND CEO;124390.97
GSHD|2024-02-27;GSHD;2024-02-27;2024-02-27T18:16:38-05:00;False;False;;Goosehead Insurance, Inc.;Jones Mark E. Jr. | Miller Mark | O'Connor John Terry;3;16.67;7332.0;Chief Financial Officer | General Counsel | President and COO;542448.52
BUSE|2024-02-27;BUSE;2024-02-27;2024-02-27T14:03:18-05:00;False;False;;FIRST BUSEY CORP /NV/;Bowe Monica L | DUKEMAN VAN A | Jones Jeffrey David | LYKINS GREGORY B | Phillips Scott A. | Powers John Joseph;6;0.97;455.9828;Director | EVP & CFO | EVP & General Counsel | EVP Chief Risk Officer | President & CEO | Principal Accounting Officer;11248.95888116
BSM|2024-02-27;BSM;2024-02-27;2024-02-27T17:34:38-05:00;False;False;;Black Stone Minerals, L.P.;DeWalch D Mark;1;1.02;3250.0;Director;50277.175
DTM|2024-02-27;DTM;2024-02-27;2024-02-27T17:32:16-05:00;False;False;;DT Midstream, Inc.;SKAGGS ROBERT C JR;1;2.76;1000.0;Director;56870.0
THRY|2024-02-27;THRY;2024-02-27;2024-02-27T17:28:09-05:00;False;False;;Thryv Holdings, Inc.;Walsh Joe;1;1.01;5000.0;Chairman and CEO;95050.00000000001
OVLY|2024-02-27;OVLY;2024-02-27;2024-02-27T17:22:48-05:00;False;False;;Oak Valley Bancorp;HOLDER H RANDOLPH JR;1;0.07;121.0;Director;2932.54
ONCT|2024-02-27;ONCT;2024-02-27;2024-02-27T17:03:15-05:00;False;False;;Oncternal Therapeutics, Inc.;HALE DAVID F;1;0.9;980.0;Director;8859.199999999999
LUMN|2024-02-27;LUMN;2024-02-27;2024-02-27T16:52:45-05:00;False;False;;Lumen Technologies, Inc.;GLENN T MICHAEL;1;22.52;50000.0;Director;73300.0
HCC|2024-02-27;HCC;2024-02-27;2024-02-27T16:48:47-05:00;False;False;;WARRIOR MET COAL, INC.;SCHUMACHER ALAN H;1;7.07;2000.0;Director;116300.0
HBT|2024-02-27;HBT;2024-02-27;2024-02-27T16:44:01-05:00;False;False;;HBT Financial, Inc.;Baker Roger A;1;0.04;200.0;Director;3760.0
OCUL|2024-02-27;OCUL;2024-02-27;2024-02-27T16:43:51-05:00;False;False;;OCULAR THERAPEUTIX, INC;SUMMER ROAD LLC;1;12.15;930851.0;10% Owner;6999999.52
WES|2024-02-27;WES;2024-02-27;2024-02-27T16:43:26-05:00;False;False;;Western Midstream Partners, LP;Owen Kenneth F.;1;27.21;7000.0;Director;237720.0
PHIO|2024-02-27;PHIO;2024-02-27;2024-02-27T16:42:27-05:00;False;False;;Phio Pharmaceuticals Corp.;Bitterman Robert J;1;15.16;2500.0;President & CEO;2275.0
FOMC|2024-02-27;FOMC;2024-02-27;2024-02-27T16:36:29-05:00;False;False;;FOMO WORLDWIDE, INC.;Grover Vikram P;2;100.0;4512496.0;CEO, Director;85249.872
AN|2024-02-27;AN;2024-02-27;2024-02-27T16:32:01-05:00;False;False;;AUTONATION, INC.;Szlosek Thomas A;1;;1421.0;EVP & CFO;200019.96
BCOV|2024-02-27;BCOV;2024-02-27;2024-02-27T16:08:09-05:00;False;False;;BRIGHTCOVE INC;DeBevoise Marc | Edenbrook Capital, LLC;2;2.17;66747.0;10% Owner | Chief Executive Officer;128416.54000000001
VFC|2024-02-27;VFC;2024-02-27;2024-02-27T16:30:35-05:00;False;False;;V F CORP;Carucci Richard;1;12.28;20000.0;Director;310620.0
TKNO|2024-02-27;TKNO;2024-02-27;2024-02-27T16:21:38-05:00;False;False;;Alpha Teknova, Inc.;Grossman Paul David;1;90.88;9212.0;Director;49504.0064
GATO|2024-02-27;GATO;2024-02-27;2024-02-27T16:10:17-05:00;False;False;;Gatos Silver, Inc.;Andres Dale | Bodley Stephen D | Scott Anthony Michael;3;100.0;22720.0;Chief Executive Officer | Gen. Counsel & CCO | SVP, Corp Dev & Tech. Services;127232.0
BNL|2024-02-27;BNL;2024-02-27;2024-02-27T16:10:50-05:00;False;False;;Broadstone Net Lease, Inc.;NARASIMHAN SHEKAR;1;;5000.0;Director;74350.0
ACT|2024-02-27;ACT;2024-02-27;2024-02-27T16:06:39-05:00;False;False;;Enact Holdings, Inc.;Gupta Rohit;1;9.35;10000.0;President and CEO;269690.0
HCAT|2024-02-27;HCAT;2024-02-27;2024-02-27T16:01:39-05:00;False;False;;Health Catalyst, Inc.;Burton Daniel D.;1;2.29;26200.0;Chief Executive Officer;204525.06
CSBB|2024-02-27;CSBB;2024-02-27;2024-02-27T12:37:55-05:00;False;False;;CSB Bancorp, Inc.;BAKER ROBERT K | Gallion Brett A. | STEINER EDDIE L;3;32.0;925.0;Director | EVP/COO/CIO | President & CEO;35452.0
CYAN|2024-02-27;CYAN;2024-02-27;2024-02-27T14:56:35-05:00;False;False;;CYANOTECH CORP;Jensen Glenn;1;2222.67;16835.0;VP, Operations;5222.15
JUVF|2024-02-27;JUVF;2024-02-27;2024-02-27T14:44:20-05:00;False;False;;JUNIATA VALLEY FINANCIAL CORP;Wolf Michael W.;1;1.41;100.0;EVP/CFO;1300.0
FMBM|2024-02-27;FMBM;2024-02-27;2024-02-27T14:08:44-05:00;False;False;;F&M BANK CORP;Willingham John A.;1;0.38;55.0;Director;990.0
FCN|2024-02-27;FCN;2024-02-27;2024-02-27T13:07:57-05:00;False;False;;FTI CONSULTING, INC;Bacon Brenda J;1;7.9;1120.0;Director;249715.2
PNST|2024-02-27;PNST;2024-02-27;2024-02-27T12:54:21-05:00;False;False;;Pinstripes Holdings, Inc.;Querciagrossa Anthony;1;;100000.0;Chief Financial Officer;343000.0
TPL|2024-02-27;TPL;2024-02-27;2024-02-27T12:37:31-05:00;False;False;;Texas Pacific Land Corp;STAHL MURRAY;1;0.12;12.0;Director;18722.760000000002
MDV|2024-02-27;MDV;2024-02-27;2024-02-27T12:28:10-05:00;False;False;;Modiv Industrial, Inc.;Halfacre Aaron Scott | NOLAN THOMAS  H JR | SMITH KIMBERLY J;3;0.68;689.7954;CEO and President | Director;9682.21678
CLFD|2024-02-27;CLFD;2024-02-27;2024-02-27T11:21:00-05:00;False;False;;Clearfield, Inc.;ROTH RONALD G;1;0.16;2000.0;Director;59240.0
TURN|2024-02-27;TURN;2024-02-27;2024-02-27T08:51:01-05:00;False;False;;180 DEGREE CAPITAL CORP. /NY/;Bigelow Robert E III;1;0.51;590.0;VP, Head of Fund Development;2555.172
RZLT|2024-02-27;RZLT;2024-02-27;2024-02-27T08:47:13-05:00;False;False;;Rezolute, Inc.;ROBERTS BRIAN KENNETH;1;17.37;8000.0;Chief Medical Officer;13540.0
DYCQ|2024-02-26;DYCQ;2024-02-26;2024-02-26T21:23:42-05:00;False;False;;DT Cloud Acquisition Corp;DT Cloud Capital Corp.;1;13.59;234500.0;10% Owner;0.0
ALLE|2024-02-26;ALLE;2024-02-26;2024-02-26T20:23:42-05:00;False;False;;Allegion plc;Stone John H;1;10.61;10000.0;President and CEO;1324146.0
BNZI|2024-02-26;BNZI;2024-02-26;2024-02-26T19:24:36-05:00;False;False;;Banzai International, Inc.;Davy Joseph P.;1;12.83;500.0;Chief Executive Officer;400.1
OVLY|2024-02-26;OVLY;2024-02-26;2024-02-26T18:58:49-05:00;False;False;;Oak Valley Bancorp;Leonard Daniel J;1;1.72;1000.0;Director;24000.0
RICK|2024-02-26;RICK;2024-02-26;2024-02-26T18:50:30-05:00;False;False;;RCI HOSPITALITY HOLDINGS, INC.;Barabash Yura V;1;19.56;188.0;Director;10518.1864
QDEL|2024-02-26;QDEL;2024-02-26;2024-02-26T18:48:23-05:00;False;False;;QuidelOrtho Corp;Busky Joseph M;1;;2150.0;Chief Financial Officer;99663.25
CAT|2024-02-26;CAT;2024-02-26;2024-02-26T17:47:26-05:00;False;False;;CATERPILLAR INC;MacLennan David;1;7.16;350.0;Director;113179.5
HTLD|2024-02-26;HTLD;2024-02-26;2024-02-26T17:42:30-05:00;False;False;;HEARTLAND EXPRESS INC;Ann S. Gerdin Revocable Trust;1;10.3;14933.0;10% Owner;185024.3499
TTSH|2024-02-26;TTSH;2024-02-26;2024-02-26T17:12:24-05:00;False;False;;TILE SHOP HOLDINGS, INC.;Fund 1 Investments, LLC;1;0.85;98000.0;10% Owner;639991.1
RSVR|2024-02-26;RSVR;2024-02-26;2024-02-26T17:10:00-05:00;False;False;;Reservoir Media, Inc.;Khosrowshahi Hassan;1;19.92;16608.0;10% Owner;117554.7456
CBAN|2024-02-26;CBAN;2024-02-26;2024-02-26T16:54:33-05:00;False;False;;COLONY BANKCORP INC;Bateman Leonard H JR;1;10.7;1009.344;EVP & Chief Credit Officer;11213.81184
DINO|2024-02-26;DINO;2024-02-26;2024-02-26T16:34:23-05:00;False;False;;HF Sinclair Corp;MYERS FRANKLIN;1;3.28;4180.0;Director;246369.19999999998
ESOA|2024-02-26;ESOA;2024-02-26;2024-02-26T16:31:08-05:00;False;False;;Energy Services of America CORP;Prince Mark;1;33.27;12500.0;Director;94625.0
CLBK|2024-02-26;CLBK;2024-02-26;2024-02-26T16:31:03-05:00;False;False;;Columbia Financial, Inc.;Van Dyk Robert;1;0.85;1000.0;Director;16689.2
EXFY|2024-02-26;EXFY;2024-02-26;2024-02-26T16:31:01-05:00;False;False;;Expensify, Inc.;McLaughlin Steven J.;1;2.19;182941.0;10% Owner;290876.19
CTHR|2024-02-26;CTHR;2024-02-26;2024-02-26T16:15:38-05:00;False;False;;CHARLES & COLVARD LTD;SYKES OLLIN B;1;6.19;107500.0;Director;35023.5
BNL|2024-02-26;BNL;2024-02-26;2024-02-26T16:10:40-05:00;False;False;;Broadstone Net Lease, Inc.;COKE MICHAEL A | Fennell Kevin | Moragne John David;3;40.29;24000.0;Chief Executive Officer | Director | EVP & CFO;352928.0
GRTX|2024-02-26;GRTX;2024-02-26;2024-02-26T16:06:04-05:00;False;False;;Galera Therapeutics, Inc.;Schneid Yair;1;4.61;932402.0;10% Owner;166416.968
RMCF|2024-02-26;RMCF;2024-02-26;2024-02-26T16:05:29-05:00;False;False;;Rocky Mountain Chocolate Factory, Inc.;GEYGAN JEFFREY RICHART | GLOBAL VALUE INVESTMENT CORP.;2;2.1;65522.0;10% Owner | Director;281807.10900000005
STRT|2024-02-26;STRT;2024-02-26;2024-02-26T16:05:18-05:00;False;False;;STRATTEC SECURITY CORP;FLORSHEIM THOMAS W JR;1;7.17;1000.0;Director;24950.0
BY|2024-02-26;BY;2024-02-26;2024-02-26T15:56:24-05:00;False;False;;BYLINE BANCORP, INC.;KENT STEVEN P.;1;1.41;250.0;Director;5232.5
TPL|2024-02-26;TPL;2024-02-26;2024-02-26T14:32:51-05:00;False;False;;Texas Pacific Land Corp;STAHL MURRAY;2;0.12;24.0;Director;37497.36000000001
DC|2024-02-26;DC;2024-02-26;2024-02-26T15:22:18-05:00;False;False;;Dakota Gold Corp.;SCHROEDER ALICE D.;1;2.98;7410.0;Director;14521.377
ASRV|2024-02-26;ASRV;2024-02-26;2024-02-26T15:13:54-05:00;False;False;;AMERISERV FINANCIAL INC /PA/;Bloomingdale Richard W.;1;21.05;1725.0;Director;4916.25
FNB|2024-02-26;FNB;2024-02-26;2024-02-26T14:05:46-05:00;False;False;;FNB CORP/PA/;CAMPBELL WILLIAM B;1;1.75;2500.0;Director;33522.5
HFBL|2024-02-26;HFBL;2024-02-26;2024-02-26T14:04:43-05:00;False;False;;Home Federal Bancorp, Inc. of Louisiana;BARLOW JAMES R;1;0.82;300.0;Chairman, President & CEO***;3975.0
FOMC|2024-02-26;FOMC;2024-02-26;2024-02-26T12:51:02-05:00;False;False;;FOMO WORLDWIDE, INC.;Grover Vikram P;2;100.0;4512496.0;CEO, Director;85249.872
FMNB|2024-02-26;FMNB;2024-02-26;2024-02-26T11:49:03-05:00;False;False;;FARMERS NATIONAL BANC CORP /OH/;Helmick Kevin J | Wallace Amber B;2;0.03;100.0;President & CEO | Sr VP/Chief Retail/Marketing;1398.79
WLKP|2024-02-26;WLKP;2024-02-26;2024-02-26T10:10:44-05:00;False;False;;Westlake Chemical Partners LP;Kenner Andrew;1;7.9;10000.0;SVP, Olefin Material & Corp Pr;221160.0
FMBM|2024-02-26;FMBM;2024-02-26;2024-02-26T09:18:09-05:00;False;False;;F&M BANK CORP;Willingham John A.;1;11.22;1000.0;Director;20750.0
TURN|2024-02-26;TURN;2024-02-26;2024-02-26T08:50:20-05:00;False;False;;180 DEGREE CAPITAL CORP. /NY/;Gift Alicia M | Rendino Kevin | Wolfe Daniel B;3;2.35;13500.0;Chairman and CEO | President | Treasurer, Secretary;56741.95
ILMN|2024-02-26;ILMN;2024-02-26;2024-02-26T08:57:29-05:00;False;False;;ILLUMINA, INC.;Thaysen Jacob;1;67.52;7330.0;Chief Executive Officer;991672.48
YORW|2024-02-26;YORW;2024-02-26;2024-02-26T08:41:20-05:00;False;False;;YORK WATER CO;Brossman Douglas S;1;;27.456;Director;999.9969408
ACLS|2024-02-26;ACLS;2024-02-26;2024-02-26T08:15:07-05:00;False;False;;AXCELIS TECHNOLOGIES INC;Lawson Douglas A.;1;2.61;500.0;EVP, CORPORATE MKTG & STRATEGY;55520.0
CMTV|2024-02-26;CMTV;2024-02-26;2024-02-26T07:47:06-05:00;False;False;;COMMUNITY BANCORP /VT;Marvin Emma;1;2.5;100.0;Director;1670.0
ASPI|2024-02-26;ASPI;2024-02-26;2024-02-26T07:27:12-05:00;False;False;;ASP Isotopes Inc.;Ryan Robert John Andrew;1;2.99;18346.0;Director;41991.6
HMLA|2024-02-26;HMLA;2024-02-26;2024-02-26T06:10:34-05:00;False;False;;HIMALAYA TECHNOLOGIES, INC;Grover Vikram P;1;127.2;24390004.0;CEO, CFO, Secretary;25679.9995
BYON|2024-02-26;BYON;2024-02-26;2024-02-26T06:05:07-05:00;False;False;;BEYOND, INC.;Nielsen David J.;1;0.65;370.0;DIVISION CEO OVERSTOCK;10008.5
